id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
460,"Unearthly (Unearthly, #1)","
        (Unearthly #1)
",Cynthia Hand,"Young Adult,Fantasy,Paranormal,Angels,Fantasy,Paranormal,Romance,Romance,Paranormal Romance,Fantasy,Supernatural,Fantasy,Urban Fantasy,Fiction",January 4th 2011,HarperTeen,435,English,"7,845",4,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011)
461,Youth,"
        (Scenes from Provincial Life #2)
",J.M. Coetzee,"Fiction,Cultural,Africa,Southern Africa,South Africa,Literature,Nobel Prize,Novels,Contemporary,Literary Fiction,Literature,21st Century",October 7th 2003,"Penguin Books

            ,",176,English,453,3.78,
462,"Eleven on Top (Stephanie Plum, #11)","
        (Stephanie Plum #11)
",Janet Evanovich,"Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance,Mystery,Crime,Humor,Comedy,Thriller,Mystery Thriller,Contemporary",June 20th 2006,"St. Martin's Press

            ,",321,English,"2,120",4.15,
463,Asterios Polyp,,David Mazzucchelli,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fiction,Graphic Novels Comics,Comics,Comic Book,Sequential Art,Bande Dessinée,Art,Philosophy,Sequential Art,Comix",July 7th 2009,Pantheon,344,English,"1,664",4.2,"Harvey Awards for Best Graphic Album of Original Work & Best Letterer (for David Mazzucchelli) (2010),Los Angeles Times Book Prize for Graphic Novel/Comics (2009),Will Eisner Comic Industry Awards for Best Graphic Album–New (2010),Goodreads Choice Award Nominee for Graphic Novel (2009),Grand Prix de la Critique (2011)"
464,"Spell Bound (Hex Hall, #3)","
        (Hex Hall #3)
","Rachel Hawkins,R. Khokins","Young Adult,Fantasy,Fantasy,Paranormal,Fantasy,Magic,Romance,Paranormal,Vampires,Paranormal,Witches,Fantasy,Supernatural,Paranormal,Demons",March 13th 2012,Hyperion Book CH,327,English,"4,167",4.05,
465,"Life After Life (Todd Family, #1)","
        (Todd Family #1)
",Kate Atkinson,"Fiction,Historical,Historical Fiction,Fantasy,Historical,Science Fiction,Time Travel,Audiobook,Literary Fiction,Adult,War,World War II",April 2nd 2013,"Reagan Arthur Books

            ,",531,English,"25,019",3.76,"Costa Book Award for Novel (2013),Tähtifantasia Award Nominee (2015),Women's Prize for Fiction Nominee (2013),Andrew Carnegie Medal Nominee for Fiction (2014),Walter Scott Prize Nominee (2014)"
466,Fangirl,,Rainbow Rowell,"Young Adult,Contemporary,Romance,Fiction,Realistic Fiction,New Adult,Audiobook,Young Adult,Coming Of Age,Young Adult,Young Adult Contemporary",September 10th 2013,St. Martin's Griffin,483,English,"54,391",4.01,"Teen Buckeye Book Award (2015),Milwaukee County Teen Book Award Nominee (2015),The Inky Awards for Silver Inky (2015),Lincoln Award Nominee (2016),Goodreads Choice Award Nominee for Young Adult Fiction (2013)"
467,"The Angel's Game (The Cemetery of Forgotten Books, #2)","
        (El cementerio de los libros olvidados #2)
","Carlos Ruiz Zafón,Lucia Graves","Fiction,Historical,Historical Fiction,Mystery,Fantasy,Cultural,Spain,Writing,Books About Books,Magical Realism,Gothic,Historical",April 29th 2010,"W&N

            ,",544,English,"11,413",3.93,
468,Colonization (Colonization #1-5),"
        (Colonization #1-5)
",Scott McElhaney,,September 29th 2015,Superluminal Publishing,425,English,5,3.89,
469,"Anna Dressed in Blood (Anna, #1)","
        (Anna #1)
",Kendare Blake,"Young Adult,Horror,Fantasy,Paranormal,Fantasy,Paranormal,Ghosts,Romance,Fantasy,Supernatural,Fiction,Fantasy,Urban Fantasy",October 17th 2011,Tor Teen,316,English,"10,165",3.9,"Lincoln Award Nominee (2015),Endeavour Award Nominee (2012),CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011),Missouri Gateway Readers Award Nominee (2014)"
470,Quiet: The Power of Introverts in a World That Can't Stop Talking,"
        (Quiet)
","Susan Cain,Carlo Prosperi","Nonfiction,Psychology,Self Help,Science,Business,Audiobook,Self Help,Personal Development,Sociology,Leadership",January 24th 2012,"Crown Publishing Group/Random House, Inc.",352,English,"25,499",4.05,"Guardian First Book Award Nominee for Longlist (2012),Andrew Carnegie Medal Nominee for Nonfiction (Shortlist) (2015),Goodreads Choice Award for Nonfiction (2012)"
471,Sharp Objects,,Gillian Flynn,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Suspense,Adult,Contemporary,Audiobook",2006,Broadway Paperbacks,254,English,"49,593",3.99,"Barry Award Nominee for Best First Novel (2007),CWA New Blood Dagger (2007),Edgar Award Nominee for Best First Novel (2007),CWA Ian Fleming Steel Dagger (2007)"
472,"The Red Pyramid (The Kane Chronicles, #1)","
        (The Kane Chronicles #1)
",Rick Riordan,"Fantasy,Young Adult,Fantasy,Mythology,Childrens,Middle Grade,Fiction,Adventure,Childrens,Fantasy,Magic,Fantasy,Urban Fantasy",May 4th 2010,Disney-Hyperion,516,English,"14,022",4.08,"Pennsylvania Young Readers' Choice Award for Grades 6-8 (2012),New Mexico Land of Enchantment Award for Young Adult (2012),Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy (2010),Carnegie Medal Nominee (2011),Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2011)"
473,"The Knife of Never Letting Go (Chaos Walking, #1)","
        (Chaos Walking #1)
",Patrick Ness,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fantasy,Fiction,Adventure,Young Adult,Teen,Audiobook,Thriller",July 22nd 2014,"Candlewick Press

            ,",512,English,"18,849",3.96,"Guardian Children's Fiction Prize (2008),Manchester Book Award  Nominee for Longlist (2009),Odyssey Award Nominee (2011),James Tiptree Jr. Award (2008),Milwaukee County Teen Book Award Nominee (2010)"
474,"Night Watch (Discworld, #29; City Watch, #6)","
        (Discworld #29)
",Terry Pratchett,"Fantasy,Fiction,Humor,Humor,Comedy,Science Fiction,Time Travel,Science Fiction Fantasy,Audiobook,Science Fiction,Novels",October 27th 2011,"Corgi

            ,",480,English,"2,562",4.44,"Locus Award Nominee for Best Fantasy Novel (2003),Prometheus Award for Best Novel (2003),Tähtifantasia Award Nominee (2011)"
